"";"0";"1";"NA"
"tabac";0,56626874808693;0,433425160697888;0,000306091215182124
"alcool";0,956535047444138;0,0434649525558616;0
"hemo";0,899908172635445;0,100091827364555;0
"diabete";0,880012243648607;0,119987756351393;0
"cardio";0,96969696969697;0,0303030303030303;0
"respi";0,968166513621059;0,0318334863789409;0
"rein";0,983164983164983;0,0168350168350168;0
